"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4005476401","400547640","Temple","American Athletic","Vanderbilt","SEC","1","false","1","35","35","15","0","1","63","63","12","7","6","18","PUNT","false","0","0","0","0"
"4005476402","400547640","Vanderbilt","SEC","Temple","American Athletic","2","false","1","28","72","12","7","1","31","69","10","4","3","3","PUNT","true","0","0","0","0"
"4005476403","400547640","Temple","American Athletic","Vanderbilt","SEC","3","false","1","73","73","10","4","1","64","64","8","26","3","9","PUNT","false","0","0","0","0"
"4005476404","400547640","Vanderbilt","SEC","Temple","American Athletic","4","false","1","21","79","8","26","1","25","75","6","44","3","4","PUNT","true","0","0","0","0"
"4005476405","400547640","Temple","American Athletic","Vanderbilt","SEC","5","false","1","64","64","6","44","1","75","75","5","36","3","-11","PUNT","false","0","0","0","0"
"4005476406","400547640","Vanderbilt","SEC","Temple","American Athletic","6","false","1","46","54","5","36","1","40","60","5","25","1","-6","FUMBLE","true","0","0","0","0"
"4005476407","400547640","Temple","American Athletic","Vanderbilt","SEC","7","true","1","40","40","5","25","1","0","0","3","39","4","40","TD","false","0","0","7","0"
"4005476408","400547640","Vanderbilt","SEC","Temple","American Athletic","8","false","1","65","35","3","39","1","45","55","0","41","6","24","PUNT","true","0","7","0","7"
"4005476409","400547640","Temple","American Athletic","Vanderbilt","SEC","9","false","1","98","98","0","41","2","78","78","14","4","5","20","PUNT","false","7","0","7","0"
"40054764010","400547640","Vanderbilt","SEC","Temple","American Athletic","10","false","2","34","66","14","4","2","46","54","11","56","4","12","PUNT","true","0","7","0","7"
"40054764011","400547640","Temple","American Athletic","Vanderbilt","SEC","11","true","2","94","94","11","56","2","100","100","10","18","6","-6","FUMBLE TD","false","7","0","7","7"
"40054764012","400547640","Vanderbilt","SEC","Temple","American Athletic","12","false","2","100","0","10","18","2","100","0","10","10","0","0","TD","true","7","7","7","7"
"40054764013","400547640","Temple","American Athletic","Vanderbilt","SEC","13","false","2","50","50","10","10","2","50","50","9","35","2","15","FUMBLE","false","7","7","7","7"
"40054764014","400547640","Vanderbilt","SEC","Temple","American Athletic","14","false","2","85","15","9","35","2","54","46","8","35","3","4","PUNT","true","7","7","7","7"
"40054764015","400547640","Temple","American Athletic","Vanderbilt","SEC","15","false","2","42","42","8","35","2","69","69","6","48","5","16","PUNT","false","7","7","7","7"
"40054764016","400547640","Vanderbilt","SEC","Temple","American Athletic","16","true","2","64","36","6","48","2","30","70","4","22","4","-12","PUNT TD","true","7","7","7","14"
"40054764017","400547640","Temple","American Athletic","Vanderbilt","SEC","17","true","2","65","65","4","22","2","0","0","2","2","9","64","FUMBLE RETURN TD","false","14","7","21","7"
"40054764018","400547640","Vanderbilt","SEC","Temple","American Athletic","18","false","2","25","75","2","2","2","55","45","0","39","6","35","FUMBLE","true","7","21","7","21"
"40054764019","400547640","Temple","American Athletic","Vanderbilt","SEC","19","false","2","55","55","0","39","2","55","55","0","39","0","0","TD","false","21","7","21","7"
"40054764020","400547640","Vanderbilt","SEC","Temple","American Athletic","20","false","2","78","22","0","39","2","28","72","0","0","1","3","END OF HALF","true","7","21","7","21"
"40054764021","400547640","Vanderbilt","SEC","Temple","American Athletic","21","true","3","31","69","14","53","3","78","22","11","21","7","40","MISSED FG","true","7","21","7","24"
"40054764022","400547640","Temple","American Athletic","Vanderbilt","SEC","22","false","3","65","65","11","21","3","79","79","10","26","3","-1","PUNT","false","24","7","24","7"
"40054764023","400547640","Vanderbilt","SEC","Temple","American Athletic","23","true","3","37","63","10","26","3","31","69","10","26","1","-11","FUMBLE TD","true","7","24","7","31"
"40054764024","400547640","Temple","American Athletic","Vanderbilt","SEC","24","false","3","65","65","10","26","3","1","1","6","8","6","30","FG","false","31","7","31","7"
"40054764027","400547640","Vanderbilt","SEC","Temple","American Athletic","25","false","3","20","80","8","6","3","21","79","4","12","1","0","INT","true","7","34","7","34"
"40054764026","400547640","Temple","American Athletic","Vanderbilt","SEC","26","false","3","65","65","7","58","3","0","0","8","6","6","37","TD","false","34","7","34","7"
"40054764025","400547640","Vanderbilt","SEC","Temple","American Athletic","27","true","3","14","86","6","8","3","36","64","7","58","5","15","INT","true","7","31","7","34"
"40054764028","400547640","Temple","American Athletic","Vanderbilt","SEC","28","true","3","61","61","4","12","3","10","10","1","56","4","4","FG","false","34","7","37","7"
"40054764029","400547640","Vanderbilt","SEC","Temple","American Athletic","29","false","3","20","80","1","56","3","20","80","1","48","0","0","FUMBLE","true","7","37","7","37"
"40054764030","400547640","Temple","American Athletic","Vanderbilt","SEC","30","false","3","93","93","1","48","4","4","4","14","55","6","16","MISSED FG","false","37","7","37","7"
