"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4009338271","400933827","Alabama","SEC","Florida State","ACC","1","false","1","25","75","15","0","1","75","25","10","57","9","50","MISSED FG","true","0","0","0","0"
"4009338272","400933827","Florida State","ACC","Alabama","SEC","2","false","1","75","75","10","57","1","34","34","7","48","8","37","DOWNS","false","0","0","0","0"
"4009338273","400933827","Alabama","SEC","Florida State","ACC","3","true","1","38","62","7","48","1","82","18","4","30","9","44","FG","true","0","0","3","0"
"4009338274","400933827","Florida State","ACC","Alabama","SEC","4","true","1","90","90","4","30","2","0","0","13","41","11","90","TD","false","0","3","7","3"
"4009338275","400933827","Alabama","SEC","Florida State","ACC","5","true","2","15","85","13","41","2","100","0","11","28","5","85","TD","true","3","7","10","7"
"4009338276","400933827","Florida State","ACC","Alabama","SEC","6","false","2","75","75","11","28","2","68","68","10","21","3","7","PUNT","false","7","10","7","10"
"4009338277","400933827","Alabama","SEC","Florida State","ACC","7","false","2","33","67","10","21","2","35","65","9","15","3","2","PUNT","true","10","7","10","7"
"4009338278","400933827","Florida State","ACC","Alabama","SEC","8","false","2","75","75","9","15","2","54","54","6","38","5","21","PUNT","false","7","10","7","10"
"4009338279","400933827","Alabama","SEC","Florida State","ACC","9","false","2","14","86","6","38","2","22","78","4","45","3","8","PUNT","true","10","7","10","7"
"40093382710","400933827","Florida State","ACC","Alabama","SEC","10","false","2","31","31","4","45","2","36","36","3","6","3","-5","PUNT","false","7","10","7","10"
"40093382711","400933827","Alabama","SEC","Florida State","ACC","11","false","2","24","76","3","6","2","17","83","1","1","3","-7","PUNT","true","10","7","10","7"
"40093382712","400933827","Florida State","ACC","Alabama","SEC","12","false","2","70","70","1","1","2","46","46","0","0","6","50","DOWNS","false","7","10","7","10"
"40093382714","400933827","Florida State","ACC","Alabama","SEC","13","false","3","75","75","15","0","3","48","48","10","4","8","27","PUNT","false","7","10","7","10"
"40093382715","400933827","Alabama","SEC","Florida State","ACC","14","false","3","19","81","10","4","3","48","52","6","23","6","29","PUNT","true","10","7","10","7"
"40093382716","400933827","Florida State","ACC","Alabama","SEC","15","false","3","93","93","6","23","3","75","75","4","17","5","18","PUNT","false","7","10","7","10"
"40093382717","400933827","Alabama","SEC","Florida State","ACC","16","true","3","94","6","4","17","3","35","65","1","54","4","-1","FUMBLE","true","10","7","13","7"
"40093382718","400933827","Alabama","SEC","Florida State","ACC","17","true","3","89","11","1","54","3","100","0","1","41","1","11","TD","true","13","7","21","7"
