"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4011107201","401110720","Alabama","SEC","Duke","ACC","1","false","1","22","78","15","0","1","19","81","12","57","3","-3","PUNT","true","0","0","0","0"
"4011107202","401110720","Duke","ACC","Alabama","SEC","2","false","1","55","55","12","57","1","52","52","11","49","3","3","PUNT","false","0","0","0","0"
"4011107203","401110720","Alabama","SEC","Duke","ACC","3","false","1","17","83","11","49","1","23","77","11","24","2","9","FUMBLE","true","0","0","0","0"
"4011107204","401110720","Duke","ACC","Alabama","SEC","4","false","1","26","26","11","24","1","7","7","8","28","7","19","DOWNS","false","0","0","0","0"
"4011107205","401110720","Alabama","SEC","Duke","ACC","5","false","1","7","93","8","28","1","69","31","3","25","12","62","MISSED FG","true","0","0","0","0"
"4011107206","401110720","Duke","ACC","Alabama","SEC","6","false","1","68","68","3","25","1","48","48","0","51","5","20","PUNT","false","0","0","0","0"
"4011107207","401110720","Alabama","SEC","Duke","ACC","7","true","1","20","80","0","51","2","100","0","10","2","12","80","TD","true","0","0","7","0"
"4011107208","401110720","Duke","ACC","Alabama","SEC","8","false","2","75","75","10","2","2","81","81","8","24","3","-6","PUNT","false","0","7","0","7"
"4011107209","401110720","Alabama","SEC","Duke","ACC","9","true","2","24","76","8","24","2","100","0","5","13","7","76","TD","true","7","0","14","0"
"40111072010","401110720","Duke","ACC","Alabama","SEC","10","false","2","75","75","5","13","2","67","67","3","18","3","8","PUNT","false","0","14","0","14"
"40111072011","401110720","Alabama","SEC","Duke","ACC","11","false","2","33","67","3","18","2","40","60","1","22","3","7","PUNT","true","14","0","14","0"
"40111072012","401110720","Duke","ACC","Alabama","SEC","12","true","2","81","81","1","22","2","12","12","0","11","7","69","FG","false","0","14","3","14"
"40111072013","401110720","Alabama","SEC","Duke","ACC","13","false","2","29","71","0","11","2","27","73","0","0","1","-2","END OF HALF","true","14","3","14","3"
"40111072014","401110720","Duke","ACC","Alabama","SEC","14","false","3","75","75","15","0","3","37","37","12","11","9","40","DOWNS","false","3","14","3","14"
"40111072015","401110720","Alabama","SEC","Duke","ACC","15","true","3","35","65","12","11","3","100","0","8","34","9","65","TD","true","14","3","21","3"
"40111072016","401110720","Duke","ACC","Alabama","SEC","16","false","3","75","75","8","34","3","75","75","8","25","1","3","FUMBLE","false","3","21","3","21"
"40111072017","401110720","Alabama","SEC","Duke","ACC","17","true","3","72","28","8","25","3","100","0","7","32","3","28","TD","true","21","3","28","3"
"40111072018","401110720","Duke","ACC","Alabama","SEC","18","false","3","75","75","7","32","3","70","70","5","56","3","5","PUNT","false","3","28","3","28"
"40111072019","401110720","Alabama","SEC","Duke","ACC","19","true","3","10","90","5","56","3","100","0","1","36","9","90","TD","true","28","3","35","3"
"40111072020","401110720","Duke","ACC","Alabama","SEC","20","false","3","75","75","1","36","3","50","50","0","21","3","25","INT","false","3","35","3","35"
"40111072021","401110720","Alabama","SEC","Duke","ACC","21","false","3","26","74","0","21","4","70","30","9","16","13","44","MISSED FG","true","35","3","35","3"
"40111072022","401110720","Duke","ACC","Alabama","SEC","22","false","4","70","70","9","16","4","64","64","7","15","3","6","PUNT","false","3","35","3","35"
"40111072023","401110720","Alabama","SEC","Duke","ACC","23","true","4","51","49","7","15","4","100","0","4","51","5","49","TD","true","35","3","42","3"
"40111072024","401110720","Duke","ACC","Alabama","SEC","24","false","4","75","75","4","51","4","40","40","0","40","8","35","INT","false","3","42","3","42"
"40111072025","401110720","Alabama","SEC","Duke","ACC","25","false","4","20","80","0","40","4","18","82","0","0","1","-2","END OF GAME","true","42","3","42","3"
"4011107211","401110721","Portland State","Big Sky","Arkansas","SEC","1","true","1","75","75","15","0","1","33","33","13","9","6","42","FG","false","0","0","3","0"
"4011107212","401110721","Arkansas","SEC","Portland State","Big Sky","2","true","1","30","70","13","9","1","84","16","9","40","9","54","FG","true","0","3","3","3"
"4011107213","401110721","Portland State","Big Sky","Arkansas","SEC","3","false","1","75","75","9","40","1","77","77","7","31","3","-2","PUNT","false","3","3","3","3"
"4011107214","401110721","Arkansas","SEC","Portland State","Big Sky","4","true","1","36","64","7","31","1","100","0","3","16","10","64","TD","true","3","3","10","3"
"4011107215","401110721","Portland State","Big Sky","Arkansas","SEC","5","true","1","75","75","3","16","2","30","30","14","7","11","45","FG","false","3","10","6","10"
"4011107216","401110721","Arkansas","SEC","Portland State","Big Sky","6","false","2","27","73","14","7","2","29","71","12","29","3","2","PUNT","true","10","6","10","6"
"4011107217","401110721","Portland State","Big Sky","Arkansas","SEC","7","false","2","65","65","12","29","2","41","41","9","10","6","24","PUNT","false","6","10","6","10"
"4011107218","401110721","Arkansas","SEC","Portland State","Big Sky","8","false","2","20","80","9","10","2","60","40","3","37","10","40","PUNT","true","10","6","10","6"
"4011107219","401110721","Portland State","Big Sky","Arkansas","SEC","9","false","2","80","80","3","37","2","82","82","2","46","3","-2","INT","false","6","10","6","10"
"40111072110","401110721","Arkansas","SEC","Portland State","Big Sky","10","false","2","82","18","2","46","2","86","14","1","23","3","4","INT","true","10","6","10","6"
"40111072111","401110721","Portland State","Big Sky","Arkansas","SEC","11","false","2","78","78","1","23","2","63","63","0","34","4","15","PUNT","false","6","10","6","10"
"40111072112","401110721","Arkansas","SEC","Portland State","Big Sky","12","false","2","35","65","0","34","2","84","16","0","0","4","49","END OF HALF","true","10","6","10","6"
"40111072113","401110721","Arkansas","SEC","Portland State","Big Sky","13","false","3","35","65","15","0","3","55","45","12","54","5","20","PUNT","true","10","6","10","6"
"40111072114","401110721","Portland State","Big Sky","Arkansas","SEC","14","false","3","88","88","12","54","3","79","79","8","38","8","9","PUNT","false","6","10","6","10"
"40111072115","401110721","Arkansas","SEC","Portland State","Big Sky","15","false","3","44","56","8","38","3","63","37","7","25","4","19","PUNT","true","10","6","10","6"
"40111072116","401110721","Portland State","Big Sky","Arkansas","SEC","16","false","3","80","80","7","25","3","80","80","7","17","1","0","INT","false","6","10","6","10"
"40111072117","401110721","Arkansas","SEC","Portland State","Big Sky","17","true","3","33","67","7","17","3","100","0","2","20","12","67","TD","true","10","6","17","6"
"40111072118","401110721","Portland State","Big Sky","Arkansas","SEC","18","false","3","75","75","2","20","3","67","67","0","53","3","8","PUNT","false","6","17","6","17"
"40111072119","401110721","Arkansas","SEC","Portland State","Big Sky","19","true","3","29","71","0","53","4","92","8","10","44","12","63","FG","true","17","6","20","6"
"40111072120","401110721","Portland State","Big Sky","Arkansas","SEC","20","true","4","75","75","10","44","4","0","0","4","14","14","75","TD","false","6","20","13","20"
"40111072121","401110721","Arkansas","SEC","Portland State","Big Sky","21","false","4","25","75","4","14","4","65","35","1","4","6","40","PUNT","true","20","13","20","13"
"40111072122","401110721","Portland State","Big Sky","Arkansas","SEC","22","false","4","97","97","1","4","4","71","71","0","11","4","26","INT","false","13","20","13","20"
"40111072123","401110721","Arkansas","SEC","Portland State","Big Sky","23","false","4","62","38","0","11","4","60","40","0","0","1","-2","END OF GAME","true","20","13","20","13"
"4011107221","401110722","Oregon","Pac-12","Auburn","SEC","1","true","1","74","74","15","0","1","0","0","10","13","11","74","TD","false","0","0","7","0"
"4011107222","401110722","Auburn","SEC","Oregon","Pac-12","2","false","1","25","75","10","13","1","27","73","8","34","3","2","PUNT","true","0","7","0","7"
"4011107223","401110722","Oregon","Pac-12","Auburn","SEC","3","false","1","44","44","8","34","1","2","2","4","42","10","42","MISSED FG","false","7","0","7","0"
"4011107224","401110722","Auburn","SEC","Oregon","Pac-12","4","true","1","20","80","4","42","1","78","22","3","17","6","58","FG","true","0","7","3","7"
"4011107225","401110722","Oregon","Pac-12","Auburn","SEC","5","true","1","75","75","3","17","1","0","0","2","11","3","75","TD","false","7","3","14","3"
"4011107226","401110722","Auburn","SEC","Oregon","Pac-12","6","false","1","20","80","2","11","2","85","15","12","31","11","65","INT","true","3","14","3","14"
"4011107227","401110722","Oregon","Pac-12","Auburn","SEC","7","false","2","88","88","12","31","2","72","72","9","16","5","16","PUNT","false","14","3","14","3"
"4011107228","401110722","Auburn","SEC","Oregon","Pac-12","8","false","2","13","87","9","16","2","41","59","6","31","5","28","PUNT","true","3","14","3","14"
"4011107229","401110722","Oregon","Pac-12","Auburn","SEC","9","false","2","9","9","6","31","2","9","9","6","15","1","-5","FUMBLE","false","14","3","14","3"
"40111072210","401110722","Auburn","SEC","Oregon","Pac-12","10","true","2","97","3","6","15","2","93","7","4","41","4","-4","FG","true","3","14","6","14"
"40111072211","401110722","Oregon","Pac-12","Auburn","SEC","11","false","2","75","75","4","41","2","80","80","2","5","3","-5","PUNT","false","14","6","14","6"
"40111072212","401110722","Auburn","SEC","Oregon","Pac-12","12","false","2","26","74","2","5","2","46","54","1","34","2","20","INT","true","6","14","6","14"
"40111072213","401110722","Oregon","Pac-12","Auburn","SEC","13","false","2","75","75","1","34","2","71","71","0","52","3","4","PUNT","false","14","6","14","6"
"40111072214","401110722","Auburn","SEC","Oregon","Pac-12","14","false","2","74","26","0","52","2","76","24","0","8","7","2","MISSED FG","true","6","14","6","14"
"40111072215","401110722","Oregon","Pac-12","Auburn","SEC","15","false","2","76","76","0","8","2","81","81","0","0","1","-5","END OF HALF","false","14","6","14","6"
"40111072216","401110722","Auburn","SEC","Oregon","Pac-12","16","false","3","25","75","15","0","3","26","74","12","51","3","1","PUNT","true","6","14","6","14"
"40111072217","401110722","Oregon","Pac-12","Auburn","SEC","17","true","3","53","53","12","51","3","0","0","9","23","9","53","TD","false","14","6","21","6"
"40111072218","401110722","Auburn","SEC","Oregon","Pac-12","18","false","3","25","75","9","23","3","36","64","7","2","6","11","PUNT","true","6","21","6","21"
"40111072219","401110722","Oregon","Pac-12","Auburn","SEC","19","false","3","80","80","7","2","3","79","79","5","31","3","1","PUNT","false","21","6","21","6"
"40111072220","401110722","Auburn","SEC","Oregon","Pac-12","20","true","3","42","58","5","31","3","100","0","4","20","4","58","TD","true","6","21","13","21"
"40111072221","401110722","Oregon","Pac-12","Auburn","SEC","21","false","3","75","75","4","20","3","52","52","1","48","5","23","PUNT","false","21","13","21","13"
"40111072222","401110722","Auburn","SEC","Oregon","Pac-12","22","false","3","20","80","1","48","4","38","62","14","15","5","18","PUNT","true","13","21","13","21"
"40111072223","401110722","Oregon","Pac-12","Auburn","SEC","23","false","4","81","81","14","15","4","76","76","12","44","3","5","PUNT","false","21","13","21","13"
"40111072224","401110722","Auburn","SEC","Oregon","Pac-12","24","true","4","31","69","12","44","4","100","0","9","48","8","69","TD","true","13","21","20","21"
"40111072225","401110722","Oregon","Pac-12","Auburn","SEC","25","false","4","75","75","9","48","4","41","41","5","30","8","33","DOWNS","false","21","20","21","20"
"40111072226","401110722","Auburn","SEC","Oregon","Pac-12","26","false","4","42","58","5","30","4","42","58","4","31","3","0","PUNT","true","20","21","20","21"
"40111072227","401110722","Oregon","Pac-12","Auburn","SEC","27","false","4","82","82","4","31","4","69","69","2","14","5","13","PUNT","false","21","20","21","20"
"40111072228","401110722","Auburn","SEC","Oregon","Pac-12","28","true","4","40","60","2","14","4","100","0","0","9","11","60","TD","true","20","21","27","21"
"40111072229","401110722","Oregon","Pac-12","Auburn","SEC","29","false","4","36","36","0","9","4","36","36","0","0","1","0","END OF GAME","false","21","27","21","27"
"4011107231","401110723","Miami","ACC","Florida","SEC","1","true","1","75","75","15","0","1","19","19","9","37","9","56","FG","false","0","0","3","0"
"4011107232","401110723","Florida","SEC","Miami","ACC","2","true","1","21","79","9","37","1","100","0","7","37","5","79","TD","true","0","3","7","3"
"4011107233","401110723","Miami","ACC","Florida","SEC","3","false","1","75","75","7","37","1","79","79","4","59","3","-5","PUNT","false","3","7","3","7"
"4011107234","401110723","Florida","SEC","Miami","ACC","4","false","1","40","60","4","59","2","93","7","13","18","12","51","FUMBLE","true","7","3","7","3"
"4011107235","401110723","Miami","ACC","Florida","SEC","5","false","2","91","91","13","18","2","93","93","11","41","3","-2","PUNT","false","3","7","3","7"
"4011107236","401110723","Florida","SEC","Miami","ACC","6","false","2","60","40","11","41","2","63","37","10","46","2","-8","FUMBLE","true","7","3","7","3"
"4011107237","401110723","Miami","ACC","Florida","SEC","7","true","2","52","52","10","46","2","25","25","8","26","5","27","FG","false","3","7","6","7"
"4011107238","401110723","Florida","SEC","Miami","ACC","8","false","2","33","67","8","26","2","40","60","6","53","3","7","PUNT","true","7","6","7","6"
"4011107239","401110723","Miami","ACC","Florida","SEC","9","true","2","90","90","6","53","2","0","0","0","45","12","90","TD","false","6","7","13","7"
"40111072310","401110723","Florida","SEC","Miami","ACC","10","false","2","25","75","0","45","2","40","60","0","0","4","15","END OF HALF","true","7","13","7","13"
"40111072311","401110723","Florida","SEC","Miami","ACC","11","false","3","25","75","15","0","3","57","43","11","35","6","32","PUNT","true","7","13","7","13"
"40111072312","401110723","Miami","ACC","Florida","SEC","12","false","3","95","95","11","35","3","96","96","9","55","3","-1","PUNT","false","13","7","13","7"
"40111072313","401110723","Florida","SEC","Miami","ACC","13","true","3","58","42","9","55","3","91","9","6","30","9","33","FG","true","7","13","10","13"
"40111072314","401110723","Miami","ACC","Florida","SEC","14","false","3","75","75","6","30","3","71","71","2","45","6","4","PUNT","false","13","10","13","10"
"40111072315","401110723","Florida","SEC","Miami","ACC","15","false","3","20","80","2","45","3","42","58","1","20","4","22","FUMBLE","true","10","13","10","13"
"40111072316","401110723","Florida","SEC","Miami","ACC","16","true","3","89","11","1","20","3","100","0","0","30","3","11","TD","true","10","13","17","13"
"40111072317","401110723","Miami","ACC","Florida","SEC","17","true","3","75","75","0","30","4","0","0","14","15","3","75","TD","false","13","17","20","17"
"40111072318","401110723","Florida","SEC","Miami","ACC","18","false","4","25","75","14","15","4","24","76","13","19","2","-1","INT","true","17","20","17","20"
"40111072319","401110723","Miami","ACC","Florida","SEC","19","false","4","25","25","13","19","4","11","11","9","48","8","15","MISSED FG","false","20","17","20","17"
"40111072320","401110723","Florida","SEC","Miami","ACC","20","true","4","20","80","9","48","4","100","0","8","18","4","80","TD","true","17","20","24","20"
"40111072321","401110723","Miami","ACC","Florida","SEC","21","false","4","65","65","8","18","4","30","30","4","30","7","29","DOWNS","false","20","24","20","24"
"40111072322","401110723","Florida","SEC","Miami","ACC","22","false","4","36","64","4","30","4","36","64","4","20","1","0","INT","true","24","20","24","20"
"40111072323","401110723","Miami","ACC","Florida","SEC","23","false","4","25","25","4","20","4","26","26","0","12","10","-2","DOWNS","false","20","24","20","24"
"40111072324","401110723","Florida","SEC","Miami","ACC","24","false","4","26","74","0","12","4","24","76","0","0","1","-2","END OF GAME","true","24","20","24","20"
"4011107241","401110724","Toledo","Mid-American","Kentucky","SEC","1","true","1","63","63","15","0","1","0","0","12","15","7","63","TD","false","0","0","7","0"
"4011107242","401110724","Kentucky","SEC","Toledo","Mid-American","2","false","1","30","70","12","9","1","25","75","10","38","3","-5","PUNT","true","0","7","0","7"
"4011107243","401110724","Toledo","Mid-American","Kentucky","SEC","3","false","1","80","80","10","38","1","44","44","6","37","8","36","PUNT","false","7","0","7","0"
"4011107244","401110724","Kentucky","SEC","Toledo","Mid-American","4","true","1","3","97","6","37","2","100","0","14","55","14","97","TD","true","0","7","7","7"
"4011107245","401110724","Toledo","Mid-American","Kentucky","SEC","5","true","2","75","75","14","55","2","0","0","11","31","7","75","TD","false","7","7","14","7"
"4011107246","401110724","Kentucky","SEC","Toledo","Mid-American","6","false","2","24","76","11","25","2","22","78","9","36","3","-2","PUNT","true","7","14","7","14"
"4011107247","401110724","Toledo","Mid-American","Kentucky","SEC","7","false","2","87","87","9","36","2","93","93","7","0","3","-6","PUNT","false","14","7","14","7"
"4011107248","401110724","Kentucky","SEC","Toledo","Mid-American","8","true","2","44","56","7","0","2","100","0","6","1","3","56","TD","true","7","14","14","14"
"4011107249","401110724","Toledo","Mid-American","Kentucky","SEC","9","false","2","75","75","6","1","2","50","50","3","21","6","25","PUNT","false","14","14","14","14"
"40111072410","401110724","Kentucky","SEC","Toledo","Mid-American","10","false","2","24","76","3","21","2","51","49","1","21","4","27","PUNT","true","14","14","14","14"
"40111072411","401110724","Toledo","Mid-American","Kentucky","SEC","11","false","2","97","97","1","21","2","79","79","0","0","3","18","END OF HALF","false","14","14","14","14"
"40111072412","401110724","Kentucky","SEC","Toledo","Mid-American","12","false","3","9","91","14","53","3","18","82","13","8","3","9","PUNT","true","14","14","14","14"
"40111072413","401110724","Toledo","Mid-American","Kentucky","SEC","13","false","3","71","71","13","8","3","66","66","13","1","1","5","FUMBLE","false","14","14","14","14"
"40111072414","401110724","Kentucky","SEC","Toledo","Mid-American","14","true","3","66","34","13","1","3","72","28","11","33","4","6","FG","true","14","14","17","14"
"40111072415","401110724","Toledo","Mid-American","Kentucky","SEC","15","false","3","74","74","11","27","3","73","73","9","40","3","1","PUNT","false","14","17","14","17"
"40111072416","401110724","Kentucky","SEC","Toledo","Mid-American","16","true","3","33","67","9","40","3","100","0","7","17","5","67","TD","true","17","14","24","14"
"40111072417","401110724","Toledo","Mid-American","Kentucky","SEC","17","false","3","75","75","7","17","3","67","67","5","48","3","8","PUNT","false","14","24","14","24"
"40111072418","401110724","Kentucky","SEC","Toledo","Mid-American","18","false","3","17","83","5","48","3","62","38","5","5","3","45","FUMBLE","true","24","14","24","14"
"40111072419","401110724","Toledo","Mid-American","Kentucky","SEC","19","true","3","62","62","5","5","3","29","29","3","7","5","33","FG","false","14","24","17","24"
"40111072420","401110724","Kentucky","SEC","Toledo","Mid-American","20","false","3","25","75","3","7","3","30","70","0","0","5","5","PUNT","true","24","17","24","17"
"40111072421","401110724","Toledo","Mid-American","Kentucky","SEC","21","false","4","83","83","15","0","4","63","63","13","36","4","20","PUNT","false","17","24","17","24"
"40111072422","401110724","Kentucky","SEC","Toledo","Mid-American","22","false","4","4","96","13","36","4","11","89","11","45","3","7","PUNT","true","24","17","24","17"
"40111072423","401110724","Toledo","Mid-American","Kentucky","SEC","23","false","4","67","67","11","45","4","47","47","10","17","4","20","PUNT","false","17","24","17","24"
"40111072424","401110724","Kentucky","SEC","Toledo","Mid-American","24","true","4","8","92","10","17","4","100","0","8","26","7","92","TD","true","24","17","31","17"
"40111072425","401110724","Toledo","Mid-American","Kentucky","SEC","25","false","4","75","75","8","26","4","67","67","7","41","2","8","INT","false","17","31","17","31"
"40111072426","401110724","Kentucky","SEC","Toledo","Mid-American","26","true","4","67","33","7","41","4","100","0","5","32","5","33","TD","true","31","17","38","17"
"40111072427","401110724","Toledo","Mid-American","Kentucky","SEC","27","false","4","75","75","5","32","4","75","75","3","30","3","0","PUNT","false","17","38","17","38"
"40111072428","401110724","Kentucky","SEC","Toledo","Mid-American","28","false","4","45","55","3","30","4","41","59","2","24","2","-4","FUMBLE","true","38","17","38","17"
"40111072429","401110724","Toledo","Mid-American","Kentucky","SEC","29","true","4","41","41","2","24","4","0","0","1","2","6","41","TD","false","17","38","24","38"
"40111072430","401110724","Kentucky","SEC","Toledo","Mid-American","30","false","4","58","42","1","0","4","57","43","0","0","2","-1","END OF GAME","true","38","24","38","24"
"4011107251","401110725","LSU","SEC","Georgia Southern","Sun Belt","1","true","1","25","75","15","0","1","100","0","12","36","6","75","TD","true","0","0","7","0"
"4011107252","401110725","Georgia Southern","Sun Belt","LSU","SEC","2","false","1","75","75","12","36","1","71","71","10","23","3","4","PUNT","false","0","7","0","7"
"4011107253","401110725","LSU","SEC","Georgia Southern","Sun Belt","3","true","1","66","34","10","23","1","100","0","8","10","6","34","TD","true","7","0","14","0"
"4011107254","401110725","Georgia Southern","Sun Belt","LSU","SEC","4","false","1","75","75","8","10","1","78","78","6","59","3","-3","PUNT","false","0","14","0","14"
"4011107255","401110725","LSU","SEC","Georgia Southern","Sun Belt","5","true","1","48","52","6","59","1","100","0","3","9","10","52","TD","true","14","0","21","0"
"4011107256","401110725","Georgia Southern","Sun Belt","LSU","SEC","6","false","1","75","75","3","9","1","52","52","0","12","5","11","FUMBLE","false","0","21","0","21"
"4011107257","401110725","LSU","SEC","Georgia Southern","Sun Belt","7","true","1","74","26","0","12","2","100","0","13","10","5","26","TD","true","21","0","28","0"
"4011107258","401110725","Georgia Southern","Sun Belt","LSU","SEC","8","false","2","75","75","13","10","2","82","82","11","17","3","0","FUMBLE","false","0","28","0","28"
"4011107259","401110725","LSU","SEC","Georgia Southern","Sun Belt","9","true","2","75","25","11","17","2","100","0","9","58","4","25","TD","true","28","0","35","0"
"40111072510","401110725","Georgia Southern","Sun Belt","LSU","SEC","10","true","2","75","75","9","58","2","30","30","5","13","10","45","FG","false","0","35","3","35"
"40111072511","401110725","LSU","SEC","Georgia Southern","Sun Belt","11","false","2","25","75","5","13","2","30","70","4","5","3","5","PUNT","true","35","3","35","3"
"40111072512","401110725","Georgia Southern","Sun Belt","LSU","SEC","12","false","2","68","68","4","5","2","66","66","2","22","3","2","PUNT","false","3","35","3","35"
"40111072513","401110725","LSU","SEC","Georgia Southern","Sun Belt","13","true","2","20","80","2","22","2","100","0","0","58","5","80","TD","true","35","3","42","3"
