"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4016283191","401628319","Western Kentucky","Conference USA","Alabama","SEC","1","false","1","75","75","15","0","1","69","69","12","50","5","6","PUNT","false","0","0","0","0"
"4016283192","401628319","Alabama","SEC","Western Kentucky","Conference USA","2","false","1","31","69","12","50","1","28","72","11","20","3","-3","PUNT","true","0","0","0","0"
"4016283193","401628319","Western Kentucky","Conference USA","Alabama","SEC","3","false","1","80","80","11","20","1","78","78","10","48","2","2","INT","false","0","0","0","0"
"4016283194","401628319","Alabama","SEC","Western Kentucky","Conference USA","4","true","1","84","16","10","48","1","100","0","10","7","2","16","TD","true","0","0","7","0"
"4016283195","401628319","Western Kentucky","Conference USA","Alabama","SEC","5","false","1","75","75","10","7","1","22","22","6","32","8","53","INT","false","0","7","0","7"
"4016283196","401628319","Alabama","SEC","Western Kentucky","Conference USA","6","true","1","74","26","6","32","1","100","0","5","1","3","26","TD","true","7","0","14","0"
"4016283197","401628319","Western Kentucky","Conference USA","Alabama","SEC","7","false","1","75","75","5","1","1","70","70","3","46","3","5","PUNT","false","0","14","0","14"
"4016283198","401628319","Alabama","SEC","Western Kentucky","Conference USA","8","true","1","19","81","3","46","1","100","0","2","27","4","81","TD","true","14","0","21","0"
"4016283199","401628319","Western Kentucky","Conference USA","Alabama","SEC","9","false","1","75","75","2","27","1","70","70","1","39","3","5","PUNT","false","0","21","0","21"
"40162831910","401628319","Alabama","SEC","Western Kentucky","Conference USA","10","false","1","28","72","1","39","1","36","64","0","12","3","-8","FUMBLE","true","21","0","21","0"
"40162831911","401628319","Western Kentucky","Conference USA","Alabama","SEC","11","false","1","20","20","0","12","2","20","20","13","39","4","0","MISSED FG","false","0","21","0","21"
"40162831912","401628319","Alabama","SEC","Western Kentucky","Conference USA","12","true","2","20","80","13","39","2","100","0","12","35","2","80","TD","true","21","0","28","0"
"40162831913","401628319","Western Kentucky","Conference USA","Alabama","SEC","13","false","2","75","75","12","35","2","8","8","3","26","21","71","DOWNS","false","0","28","0","28"
"40162831914","401628319","Alabama","SEC","Western Kentucky","Conference USA","14","true","2","4","96","3","26","2","100","0","2","53","2","96","TD","true","28","0","35","0"
"40162831915","401628319","Western Kentucky","Conference USA","Alabama","SEC","15","false","2","75","75","2","53","2","71","71","1","45","3","4","PUNT","false","0","35","0","35"
"40162831916","401628319","Alabama","SEC","Western Kentucky","Conference USA","16","true","2","45","55","1","45","2","100","0","1","30","2","55","TD","true","35","0","42","0"
"40162831917","401628319","Western Kentucky","Conference USA","Alabama","SEC","17","false","2","75","75","1","30","2","75","75","0","0","3","0","END OF HALF","false","0","42","0","42"
"40162831918","401628319","Alabama","SEC","Western Kentucky","Conference USA","18","false","3","25","75","15","0","3","29","71","13","13","3","4","PUNT","true","42","0","42","0"
"40162831919","401628319","Western Kentucky","Conference USA","Alabama","SEC","19","false","3","83","83","13","13","3","84","84","10","40","4","-1","PUNT","false","0","42","0","42"
"40162831920","401628319","Alabama","SEC","Western Kentucky","Conference USA","20","true","3","39","61","10","40","3","100","0","6","30","9","61","TD","true","42","0","49","0"
"40162831921","401628319","Western Kentucky","Conference USA","Alabama","SEC","21","false","3","80","80","6","30","3","82","82","5","38","3","-2","PUNT","false","0","49","0","49"
"40162831922","401628319","Alabama","SEC","Western Kentucky","Conference USA","22","true","3","47","53","5","38","3","100","0","2","51","6","53","TD","true","49","0","56","0"
"40162831923","401628319","Western Kentucky","Conference USA","Alabama","SEC","23","false","3","75","75","2","51","3","72","72","1","39","3","3","PUNT","false","0","56","0","56"
"40162831924","401628319","Alabama","SEC","Western Kentucky","Conference USA","24","false","3","25","75","1","39","3","26","74","0","45","3","1","PUNT","true","56","0","56","0"
"40162831925","401628319","Western Kentucky","Conference USA","Alabama","SEC","25","false","3","72","72","0","45","4","73","73","14","2","3","-1","PUNT","false","0","56","0","56"
"40162831926","401628319","Alabama","SEC","Western Kentucky","Conference USA","26","true","4","21","79","14","2","4","100","0","10","4","10","79","TD","true","56","0","63","0"
"40162831927","401628319","Western Kentucky","Conference USA","Alabama","SEC","27","false","4","73","73","10","4","4","68","68","8","39","3","5","PUNT","false","0","63","0","63"
"40162831928","401628319","Alabama","SEC","Western Kentucky","Conference USA","28","false","4","33","67","8","39","4","88","12","0","0","13","55","END OF GAME","true","63","0","63","0"
"4016283201","401628320","Arkansas","SEC","Arkansas-Pine Bluff","SWAC","1","true","1","34","66","14","54","1","100","0","12","8","8","66","TD","true","0","0","7","0"
"4016283202","401628320","Arkansas-Pine Bluff","SWAC","Arkansas","SEC","2","false","1","75","75","12","8","1","79","79","10","37","3","-4","PUNT","false","0","7","0","7"
"4016283203","401628320","Arkansas","SEC","Arkansas-Pine Bluff","SWAC","3","true","1","60","40","10","37","1","100","0","8","16","5","40","TD","true","7","0","14","0"
"4016283204","401628320","Arkansas-Pine Bluff","SWAC","Arkansas","SEC","4","false","1","75","75","8","16","1","76","76","6","14","3","-1","PUNT","false","0","14","0","14"
"4016283205","401628320","Arkansas","SEC","Arkansas-Pine Bluff","SWAC","5","true","1","40","60","6","14","1","100","0","5","3","3","60","TD","true","14","0","21","0"
"4016283206","401628320","Arkansas-Pine Bluff","SWAC","Arkansas","SEC","6","false","1","75","75","5","3","1","75","75","3","17","3","0","PUNT","false","0","21","0","21"
"4016283207","401628320","Arkansas","SEC","Arkansas-Pine Bluff","SWAC","7","true","1","60","40","3","17","1","100","0","1","12","7","40","TD","true","21","0","28","0"
"4016283208","401628320","Arkansas-Pine Bluff","SWAC","Arkansas","SEC","8","false","1","75","75","1","12","1","67","67","0","0","4","8","PUNT","false","0","28","0","28"
"4016283209","401628320","Arkansas","SEC","Arkansas-Pine Bluff","SWAC","9","true","2","35","65","15","0","2","100","0","12","6","6","65","TD","true","28","0","35","0"
"40162832010","401628320","Arkansas-Pine Bluff","SWAC","Arkansas","SEC","10","false","2","75","75","12","6","2","47","47","8","46","7","28","PUNT","false","0","35","0","35"
"40162832011","401628320","Arkansas","SEC","Arkansas-Pine Bluff","SWAC","11","true","2","19","81","8","46","2","100","0","5","37","6","81","TD","true","35","0","42","0"
"40162832012","401628320","Arkansas-Pine Bluff","SWAC","Arkansas","SEC","12","false","2","75","75","5","37","2","46","46","1","42","8","29","PUNT","false","0","42","0","42"
