"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4008688761","400868876","Northwestern State","Southland","Baylor","Big 12","1","false","1","86","86","15","0","1","79","79","12","45","3","7","PUNT","false","0","0","0","0"
"4008688762","400868876","Baylor","Big 12","Northwestern State","Southland","2","true","1","41","59","12","45","1","100","0","10","46","6","59","TD","true","0","0","7","0"
"4008688763","400868876","Northwestern State","Southland","Baylor","Big 12","3","false","1","75","75","10","46","1","96","96","9","29","3","-21","PUNT","false","0","7","0","7"
"4008688764","400868876","Baylor","Big 12","Northwestern State","Southland","4","true","1","69","31","9","29","1","94","6","6","52","6","25","FG","true","7","0","10","0"
"4008688765","400868876","Northwestern State","Southland","Baylor","Big 12","5","false","1","75","75","6","52","1","79","79","5","50","3","-4","PUNT","false","0","10","0","10"
"4008688766","400868876","Baylor","Big 12","Northwestern State","Southland","6","true","1","54","46","5","50","1","100","0","4","26","7","46","TD","true","10","0","17","0"
"4008688767","400868876","Northwestern State","Southland","Baylor","Big 12","7","false","1","65","65","4","26","1","79","79","3","22","3","-14","PUNT","false","0","17","0","17"
"4008688768","400868876","Baylor","Big 12","Northwestern State","Southland","8","true","1","45","55","3","22","1","100","0","1","2","8","55","TD","true","17","0","24","0"
"4008688769","400868876","Northwestern State","Southland","Baylor","Big 12","9","false","1","90","90","1","2","2","62","62","12","54","6","28","PUNT","false","0","24","0","24"
"40086887610","400868876","Baylor","Big 12","Northwestern State","Southland","10","true","2","29","71","12","54","2","84","16","10","19","7","55","FG","true","24","0","27","0"
"40086887611","400868876","Northwestern State","Southland","Baylor","Big 12","11","false","2","89","89","10","19","2","96","96","8","34","3","-7","PUNT","false","0","27","0","27"
"40086887612","400868876","Baylor","Big 12","Northwestern State","Southland","12","true","2","95","5","8","34","2","100","0","8","3","3","5","TD","true","27","0","34","0"
"40086887613","400868876","Northwestern State","Southland","Baylor","Big 12","13","false","2","65","65","8","3","2","61","61","5","50","3","4","PUNT","false","0","34","0","34"
"40086887614","400868876","Baylor","Big 12","Northwestern State","Southland","14","true","2","30","70","5","50","2","100","0","5","0","4","70","TD","true","34","0","41","0"
"40086887615","400868876","Northwestern State","Southland","Baylor","Big 12","15","false","2","75","75","5","0","2","74","74","2","48","3","1","PUNT","false","0","41","0","41"
"40086887616","400868876","Baylor","Big 12","Northwestern State","Southland","16","true","2","47","53","2","48","2","100","0","1","7","7","53","TD","true","41","0","48","0"
"40086887617","400868876","Northwestern State","Southland","Baylor","Big 12","17","false","2","79","79","1","7","2","61","61","0","0","3","18","END OF HALF","false","0","48","0","48"
"40086887618","400868876","Baylor","Big 12","Northwestern State","Southland","18","true","3","38","62","15","0","3","100","0","11","13","9","62","TD","true","48","0","55","0"
"40086887619","400868876","Northwestern State","Southland","Baylor","Big 12","19","false","3","75","75","11","13","3","49","49","7","2","9","26","PUNT","false","0","55","0","55"
"40086887620","400868876","Baylor","Big 12","Northwestern State","Southland","20","false","3","15","85","7","2","3","7","93","5","3","3","-8","PUNT","true","55","0","55","0"
"40086887621","400868876","Northwestern State","Southland","Baylor","Big 12","21","true","3","45","45","5","3","3","0","0","0","47","8","45","TD","false","0","55","7","55"
"40086887622","400868876","Baylor","Big 12","Northwestern State","Southland","22","false","3","36","64","0","47","3","42","58","0","41","1","6","FUMBLE","true","55","7","55","7"
"40086887623","400868876","Northwestern State","Southland","Baylor","Big 12","23","false","3","42","42","0","41","4","40","40","13","52","3","2","PUNT","false","7","55","7","55"
"40086887624","400868876","Baylor","Big 12","Northwestern State","Southland","24","false","4","32","68","13","52","4","34","66","12","19","3","2","PUNT","true","55","7","55","7"
"40086887625","400868876","Northwestern State","Southland","Baylor","Big 12","25","false","4","75","75","12","19","4","68","68","10","46","3","7","PUNT","false","7","55","7","55"
"40086887626","400868876","Baylor","Big 12","Northwestern State","Southland","26","false","4","19","81","10","46","4","15","85","8","3","3","-4","PUNT","true","55","7","55","7"
"40086887627","400868876","Northwestern State","Southland","Baylor","Big 12","27","false","4","51","51","8","3","4","46","46","5","44","3","5","PUNT","false","7","55","7","55"
"40086887628","400868876","Baylor","Big 12","Northwestern State","Southland","28","false","4","22","78","5","44","4","28","72","3","29","3","6","PUNT","true","55","7","55","7"
