"Id","GameId","Offense","OffenseConference","Defense","DefenseConference","DriveNumber","Scoring","StartPeriod","StartYardline","StartYardsToGoal","StartTime Minutes","StartTime Seconds","EndPeriod","EndYardline","EndYardsToGoal","EndTime Minutes","EndTime Seconds","Plays","Yards","DriveResult","IsHomeOffense","StartOffenseScore","StartDefenseScore","EndOffenseScore","EndDefenseScore"
"4010122461","401012246","Alabama","SEC","Louisville","ACC","1","true","1","35","65","15","0","1","100","0","11","55","7","65","TD","true","0","0","7","0"
"4010122462","401012246","Louisville","ACC","Alabama","SEC","2","false","1","75","75","11","55","1","55","55","10","10","4","20","PUNT","false","0","7","0","7"
"4010122463","401012246","Alabama","SEC","Louisville","ACC","3","false","1","20","80","10","10","1","65","35","7","4","8","63","FUMBLE","true","7","0","7","0"
"4010122464","401012246","Louisville","ACC","Alabama","SEC","4","false","1","83","83","7","4","1","84","84","6","4","3","-1","PUNT","false","0","7","0","7"
"4010122465","401012246","Alabama","SEC","Louisville","ACC","5","true","1","45","55","6","4","1","100","0","4","4","6","55","TD","true","7","0","14","0"
"4010122466","401012246","Louisville","ACC","Alabama","SEC","6","false","1","75","75","4","4","2","26","26","14","16","8","49","INT","false","0","14","0","14"
"4010122467","401012246","Alabama","SEC","Louisville","ACC","7","true","2","25","75","14","16","2","100","0","11","24","6","75","TD","true","14","0","21","0"
"4010122468","401012246","Louisville","ACC","Alabama","SEC","8","false","2","86","86","11","24","2","55","55","8","5","6","31","PUNT","false","0","21","0","21"
"4010122469","401012246","Alabama","SEC","Louisville","ACC","9","false","2","22","78","8","5","2","41","59","6","18","5","19","PUNT","true","21","0","21","0"
"40101224610","401012246","Louisville","ACC","Alabama","SEC","10","false","2","80","80","6","18","2","60","60","4","45","4","20","PUNT","false","0","21","0","21"
"40101224611","401012246","Alabama","SEC","Louisville","ACC","11","false","2","20","80","4","45","2","53","47","2","2","6","33","PUNT","true","21","0","21","0"
"40101224612","401012246","Louisville","ACC","Alabama","SEC","12","false","2","85","85","2","2","2","91","91","0","27","3","-6","PUNT","false","0","21","0","21"
"40101224613","401012246","Alabama","SEC","Louisville","ACC","13","true","2","75","25","0","27","2","100","0","0","9","3","25","TD","true","21","0","28","0"
"40101224614","401012246","Louisville","ACC","Alabama","SEC","14","false","2","75","75","0","9","2","77","77","0","0","1","-2","END OF HALF","false","0","28","0","28"
"40101224615","401012246","Louisville","ACC","Alabama","SEC","15","false","3","75","75","15","0","3","65","65","11","10","6","10","PUNT","false","0","28","0","28"
"40101224616","401012246","Alabama","SEC","Louisville","ACC","16","true","3","37","63","11","10","3","100","0","10","3","4","63","TD","true","28","0","34","0"
"40101224617","401012246","Louisville","ACC","Alabama","SEC","17","true","3","75","75","10","3","3","3","3","6","27","10","75","TD","false","0","34","7","34"
